Date,Open,High,Low,Close,Volume,Adj Close
1998-06-01,83.87,84.61,83.12,83.75,42436800,15.42
1998-05-29,86.37,86.50,84.75,84.81,34091200,15.61
1998-05-28,85.75,86.37,85.06,86.31,30746800,15.89
1998-05-27,82.87,86.12,82.87,86.00,58574400,15.83
1998-05-26,85.31,86.19,83.50,83.62,44473600,15.39
1998-05-22,86.62,86.75,85.44,85.56,36129200,15.75
1998-05-21,85.81,87.37,85.50,86.37,36680000,15.90
1998-05-20,86.12,86.87,85.37,85.75,35698800,15.78
1998-05-19,85.81,86.94,85.56,86.50,52234400,15.92
1998-05-18,84.50,86.50,84.50,86.06,80395600,15.84
1998-05-15,90.12,90.19,88.75,89.44,48150800,16.46
1998-05-14,85.87,91.00,85.81,88.94,94774400,16.37
1998-05-13,88.69,88.75,86.50,86.94,80680400,16.00
1998-05-12,83.25,85.75,83.25,85.69,64147200,15.77
1998-05-11,86.12,86.19,84.06,84.25,51474400,15.51
1998-05-08,81.87,86.12,81.87,85.75,96274800,15.78
1998-05-07,86.19,86.25,83.19,83.37,78022000,15.35
1998-05-06,87.50,87.50,86.00,86.37,48110800,15.90
1998-05-05,87.62,89.56,87.00,87.75,50828000,16.15
1998-05-04,89.19,89.87,87.94,88.06,37899600,16.21
1998-05-01,90.19,90.50,88.12,89.62,35996000,16.50
1998-04-30,91.50,91.62,89.69,90.12,54473600,16.59
1998-04-29,90.06,91.50,89.62,90.50,50061600,16.66
1998-04-28,92.12,92.25,89.02,89.87,56668000,16.54
1998-04-27,89.50,90.53,88.50,90.31,58752000,16.62
1998-04-24,93.50,94.75,91.87,92.12,51436000,16.96
1998-04-23,97.25,97.37,94.14,94.50,64215200,17.39
1998-04-22,96.00,99.12,95.62,98.87,80154000,18.20
1998-04-21,94.69,95.00,93.12,94.87,51938400,17.46
1998-04-20,92.37,95.00,92.19,94.62,45535200,17.42
1998-04-17,91.50,92.25,90.31,92.12,37402800,16.96
1998-04-16,90.37,92.06,90.19,91.69,39695600,16.88
1998-04-15,89.25,91.37,88.87,91.37,40498400,16.82
